stateabb,year,irst,milex,milper,tpop,upop,cinc
USA,1861,664,95362,217,32351.0,2759.0,0.1444292
USA,1862,715,136769,673,33188.0,2886.0,0.1763908
USA,1863,860,119662,960,34026.0,3018.0,0.178967
USA,1864,1031,157390,1032,34863.0,3156.0,0.1929127
USA,1865,845,30471,1063,35701.0,3301.0,0.1354652
USA,1866,1225,17821,77,36538.0,3452.0,0.0981717
USA,1867,1326,30698,75,37376.0,3610.0,0.1141338
USA,1868,1454,20154,66,38213.0,3776.0,0.1066403
USA,1869,1739,16559,52,39051.0,3949.0,0.1080056
USA,1870,1692,13128,50,39905.0,4130.0,0.0989996
USA,1871,1735,11811,42,40938.0,4302.0,0.098381
USA,1872,2590,14246,42,41972.0,4481.0,0.1152826
USA,1873,2602,15014,43,43006.0,4667.0,0.1162688
USA,1874,2439,12899,44,44040.0,4862.0,0.1142451
USA,1875,2057,11720,38,45073.0,5064.0,0.1069647
USA,1876,1899,10749,41,46107.0,5275.0,0.1019168
USA,1877,2100,9074,34,47141.0,5495.0,0.1046526
USA,1878,2338,11367,36,48174.0,5724.0,0.1083453
USA,1879,2786,10527,38,49208.0,5962.0,0.1203331
USA,1880,3896,11414,38,50262.0,6211.0,0.1254597
USA,1881,4211,11973,38,51542.0,6494.0,0.1264246
USA,1882,4697,13040,38,52821.0,6789.0,0.1310108
USA,1883,4669,11425,37,54100.0,7099.0,0.1313463
USA,1884,4164,11438,39,55379.0,7422.0,0.1313873
USA,1885,4110,9748,39,56658.0,7761.0,0.1312613
USA,1886,5774,10382,39,57938.0,8114.0,0.1461353
USA,1887,6520,10765,39,59217.0,8484.0,0.1510995
USA,1888,6594,12647,39,60496.0,8871.0,0.1523269
USA,1889,7726,13195,39,61775.0,9275.0,0.1548427
USA,1890,9350,14788,39,63056.0,9698.0,0.1653962
USA,1891,8412,15315,38,64361.0,10075.0,0.1655897
USA,1892,9304,15654,39,65666.0,10467.0,0.1733359
USA,1893,7238,16964,39,66970.0,10874.0,0.1657286
USA,1894,6764,16001,42,68275.0,11298.0,0.1544223
USA,1895,9598,15187,42,69580.0,11737.0,0.168099
USA,1896,8762,16382,42,70885.0,12194.0,0.1600112
USA,1897,9808,30249,44,72189.0,12669.0,0.16911
USA,1898,11963,60011,236,73494.0,13162.0,0.1970619
USA,1899,13839,38588,100,74799.0,13674.0,0.1854763
USA,1900,10352,41481,126,76094.0,14207.0,0.1879988
USA,1901,13690,36087,112,77584.0,14723.0,0.2026186
USA,1902,15187,39722,111,79163.0,15258.0,0.2076682
USA,1903,14768,43814,106,80632.0,15812.0,0.2105013
USA,1904,14082,47918,110,82166.0,16387.0,0.2049464
USA,1905,20345,45098,108,83822.0,16982.0,0.213788
USA,1906,23774,43602,112,85450.0,17600.0,0.2182837
USA,1907,23737,58725,108,87008.0,18239.0,0.227735
USA,1908,14248,54189,129,88710.0,18902.0,0.2031931
USA,1909,24339,56177,142,90490.0,19589.0,0.2251969
USA,1910,26512,55880,139,92407.0,20302.0,0.2264873
USA,1911,24056,57157,145,93863.0,21039.0,0.2162103
USA,1912,31753,58992,153,95335.0,21804.0,0.224931
USA,1913,31803,62825,155,97225.0,22596.0,0.2199163
USA,1914,23890,253205,166,99111.0,23340.0,0.2063691
USA,1915,32667,257648,174,100546.0,24008.0,0.2220877
USA,1916,43460,277421,179,101961.0,24688.0,0.232941
USA,1917,45784,658584,644,103268.0,25310.0,0.2440332
USA,1918,45176,7014226,2897,103208.0,26020.0,0.2948764
USA,1919,35228,11217796,1173,104514.0,26723.0,0.3813615
USA,1920,42809,1657118,343,106461.0,27428.0,0.2895664
