stateabb,year,irst,milex,milper,tpop,upop,cinc
CHN,1861,10,-9,1000,374670.0,-9.0,0.1726716
CHN,1862,10,-9,1000,370015.0,-9.0,0.170761
CHN,1863,10,-9,1000,365419.0,-9.0,0.1643489
CHN,1864,10,-9,1000,360880.0,-9.0,0.1593894
CHN,1865,10,-9,1000,356397.0,-9.0,0.1610596
CHN,1866,10,-9,1000,351970.0,-9.0,0.171008
CHN,1867,10,-9,1000,347597.0,-9.0,0.1685239
CHN,1868,10,-9,1000,342765.0,-9.0,0.1687405
CHN,1869,10,-9,1000,344724.0,-9.0,0.1700572
CHN,1870,10,-9,1000,346694.0,-9.0,0.1706882
CHN,1871,10,-9,1000,348677.0,-9.0,0.1537179
CHN,1872,10,-9,1000,350670.0,-9.0,0.1683204
CHN,1873,10,-9,1000,352674.0,-9.0,0.1667051
CHN,1874,10,-9,1000,354690.0,-9.0,0.1682995
CHN,1875,10,-9,1000,356718.0,-9.0,0.166604
CHN,1876,10,-9,1000,358757.0,-9.0,0.163194
CHN,1877,10,-9,1000,360808.0,-9.0,0.1616687
CHN,1878,10,-9,1000,362870.0,-9.0,0.1563437
CHN,1879,10,-9,1000,364944.0,-9.0,0.1635744
CHN,1880,20,-9,1000,367030.0,-9.0,0.1628285
CHN,1881,20,-9,1000,369128.0,-9.0,0.1598976
CHN,1882,20,-9,1000,371239.0,-9.0,0.1605135
CHN,1883,20,-9,1000,373361.0,-9.0,0.1629529
CHN,1884,20,-9,1000,375495.0,-9.0,0.1621223
CHN,1885,20,-9,1000,377636.0,-9.0,0.1609649
CHN,1886,20,-9,1000,382238.0,-9.0,0.1603556
CHN,1887,20,-9,1000,386892.0,-9.0,0.1580128
CHN,1888,20,-9,1000,391601.0,-9.0,0.1563821
CHN,1889,20,-9,1000,396369.0,-9.0,0.1558969
CHN,1890,20,-9,1000,401194.0,-9.0,0.1556274
CHN,1891,20,-9,1000,406077.0,-9.0,0.154692
CHN,1892,20,-9,1000,411021.0,-9.0,0.1546462
CHN,1893,20,-9,1000,416025.0,-9.0,0.1539244
CHN,1894,20,-9,1000,421000.0,-9.0,0.1540882
CHN,1895,20,-9,1000,421763.0,-9.0,0.1521999
CHN,1896,20,2994,1000,422523.0,-9.0,0.1242898
CHN,1897,20,2660,1000,423285.0,-9.0,0.1213515
CHN,1898,20,11968,1000,424047.0,-9.0,0.1234668
CHN,1899,20,11967,1000,424811.0,-9.0,0.1247638
CHN,1900,0,12241,1000,425577.0,-9.0,0.1199774
CHN,1901,0,5155,1000,426447.0,-9.0,0.1156929
CHN,1902,0,8769,1000,439947.0,-9.0,0.1185682
CHN,1903,0,8765,1000,441220.0,-9.0,0.1185145
CHN,1904,0,8761,1000,442502.0,-9.0,0.1176866
CHN,1905,0,10105,1000,443787.0,-9.0,0.1101609
CHN,1906,0,11022,1000,445076.0,-9.0,0.1187528
CHN,1907,9,-9,1000,446368.0,-9.0,0.1418014
CHN,1908,23,-9,1000,447665.0,-9.0,0.1393857
CHN,1909,37,-9,1000,448965.0,-9.0,0.1372341
CHN,1910,50,-9,1000,450269.0,-9.0,0.1364487
CHN,1911,39,11880,1003,451576.0,-9.0,0.1134761
CHN,1912,3,-9,450,452888.0,-9.0,0.1140283
CHN,1913,43,18408,450,454203.0,-9.0,0.0964403
CHN,1914,56,67785,460,455522.0,-9.0,0.0921925
CHN,1915,48,-9,500,456845.0,-9.0,0.1002706
CHN,1916,45,89499,850,458172.0,-9.0,0.0835062
CHN,1917,43,-9,900,459503.0,-9.0,0.1028015
CHN,1918,57,193472,1300,460837.0,-9.0,0.0861775
CHN,1919,35,214511,1380,462176.0,-9.0,0.1039528
CHN,1920,68,-9,1442,463518.0,-9.0,0.1275258
CHN,1921,77,-9,1504,464864.0,-9.0,0.1288543
CHN,1922,30,-9,1566,466214.0,-9.0,0.1363642
CHN,1923,30,-9,1628,467568.0,-9.0,0.1471833
CHN,1924,30,-9,1700,468926.0,-9.0,0.1628955
CHN,1925,30,177669,1700,470288.0,-9.0,0.138325
CHN,1926,30,-9,1700,471654.0,-9.0,0.1622968
CHN,1927,30,64307,1700,470852.0,-9.0,0.1321129
CHN,1928,30,105698,1700,474787.0,15212.0,0.1267741
CHN,1929,20,111605,1700,478830.0,15444.0,0.1266302
CHN,1930,15,101852,1700,482917.0,15688.0,0.1258848
CHN,1931,15,73381,1700,487039.0,15915.0,0.1254375
CHN,1932,20,75541,1700,491197.0,16208.0,0.1255073
CHN,1933,35,108653,1700,495390.0,16340.0,0.1225847
CHN,1934,50,137458,1700,499618.0,16762.0,0.1200218
CHN,1935,50,146954,1700,503883.0,17308.0,0.1109026
CHN,1936,50,148278,1700,508185.0,17890.0,0.1111516
CHN,1937,40,407941,2000,512523.0,18408.0,0.1172409
CHN,1938,52,103151,900,516898.0,19066.0,0.093207
CHN,1939,62,173755,1488,521310.0,19770.0,0.0970519
CHN,1940,45,217589,2036,525760.0,20552.0,0.0926302
CHN,1941,63,244000,2584,530248.0,21403.0,0.0986568
CHN,1942,96,61724,3132,534774.0,22583.0,0.0988685
CHN,1943,70,331806,3680,539339.0,23839.0,0.099892
CHN,1944,40,195582,4228,543943.0,25352.0,0.0974234
CHN,1945,48,228612,4775,548586.0,27040.0,0.093496
CHN,1946,60,789300,4158,553269.0,28901.0,0.1327105
CHN,1947,70,257474,4015,557992.0,31118.0,0.1192198
CHN,1948,76,214176,3690,562755.0,33699.0,0.1150552
CHN,1949,158,2030000,2570,567559.0,35148.0,0.1040504
CHN,1950,606,2558000,4000,571889.0,37965.0,0.1184953
CHN,1951,896,3094000,3000,577290.0,38145.0,0.1036244
CHN,1952,1349,2709000,3026,582218.0,38325.0,0.096398
CHN,1953,1774,2538205,3052,590820.0,38505.0,0.0951003
CHN,1954,2225,2538205,3078,600149.0,38685.0,0.0943573
CHN,1955,2853,2575000,3000,609005.0,38865.0,0.0913439
CHN,1956,4465,5539170,3130,617789.0,39045.0,0.0981378
CHN,1957,5350,6219080,3156,626818.0,39225.0,0.0995304
CHN,1958,8000,5894070,3182,636335.0,48113.0,0.1084182
CHN,1959,13870,6612470,3208,646515.0,57000.0,0.1169668
CHN,1960,18660,6727610,3234,657492.0,65888.0,0.1192724
CHN,1961,8700,7953200,2200,669392.0,74775.0,0.1049435
CHN,1962,6670,9329700,2300,682357.0,83663.0,0.103609
CHN,1963,7620,10690350,2500,696552.0,92550.0,0.1071027
CHN,1964,9640,12851090,2750,712142.0,93170.0,0.1100296
CHN,1965,12230,13787580,2400,729191.0,92520.0,0.1088898
CHN,1966,15320,15931440,2600,747754.0,93940.0,0.1096543
CHN,1967,10290,16389240,2710,767672.0,95440.0,0.1055841
CHN,1968,9040,17856960,2800,788508.0,95870.0,0.1044135
CHN,1969,13330,20299920,2830,809669.0,95300.0,0.1064858
CHN,1970,17790,23775520,2850,830675.0,97851.0,0.1117451
CHN,1971,21320,21600000,2970,851419.0,100470.0,0.1130078
CHN,1972,23380,22500000,3040,871854.0,103640.0,0.1119784
CHN,1973,25220,24500000,3250,891632.0,106090.0,0.1124634
